code_insee;nom_commune;code_departement;dose_rayonnements_telluriques;dose_rayonnements_cosmiques;dose_radon_maison_individuelle;dose_radon_habitat_collectif;dose_depots_essais_atmospheriques_et_tchernobyl;;
1365;Saint-Jean-sur-Veyle;1;628;316;4504;2463;9;;
1366;Sainte-Julie;1;438;319;3748;2207;9;;
1367;Saint-Julien-sur-Reyssouze;1;550;315;4042;2307;9;;
1368;Saint-Julien-sur-Veyle;1;613;317;4766;2553;9;;
1369;Saint-Just;1;452;334;4172;2351;9;;
1370;Saint-Laurent-sur-Saône;1;581;313;4582;2490;9;;
1371;Saint-Marcel;1;626;327;3822;2232;9;;
1372;Saint-Martin-de-Bavel;1;444;334;4279;2387;9;;
1373;Saint-Martin-du-Frêne;1;405;365;3891;2255;9;;
1374;Saint-Martin-du-Mont;1;448;325;3730;2201;9;;
1375;Saint-Martin-le-Châtel;1;559;318;3923;2266;9;;
1376;Saint-Maurice-de-Beynost;1;478;315;4441;2442;9;;
1378;Saint-Maurice-de-Gourdans;1;437;316;5147;2682;9;;
1379;Saint-Maurice-de-Rémens;1;448;319;3427;2098;9;;
1380;Saint-Nizier-le-Bouchoux;1;536;318;5009;2635;9;;
1381;Saint-Nizier-le-Désert;1;556;328;3712;2194;9;;
1382;Sainte-Olive;1;650;328;4216;2366;9;;
1383;Saint-Paul-de-Varax;1;556;325;4099;2326;9;;
1384;Saint-Rambert-en-Bugey;1;386;327;2999;1952;9;;
1385;Saint-Rémy;1;510;322;3507;2125;9;;
1386;Saint-Sorlin-en-Bugey;1;435;316;3375;2080;9;;
1387;Saint-Sulpice;1;575;318;4157;2346;9;;
1388;Saint-Trivier-de-Courtes;1;548;318;4434;2440;9;;
1389;Saint-Trivier-sur-Moignans;1;654;323;4417;2434;9;;
1390;Saint-Vulbas;1;434;317;3998;2292;9;;
1391;Salavre;1;466;328;5225;2708;9;;
1392;Samognat;1;408;366;5136;2678;9;;
1393;Sandrans;1;633;327;4868;2587;9;;
1396;Sault-Brénaz;1;405;316;3652;2174;9;;
1397;Sauverny;1;461;358;3641;2171;9;;
1398;Savigneux;1;671;324;4648;2513;9;;
1399;Ségny;1;467;358;3960;2279;9;;
1400;Seillonnaz;1;422;367;3906;2260;9;;
1401;Sergy;1;453;356;4807;2566;9;;
1402;Sermoyer;1;590;316;3663;2178;9;;
1403;Serrières-de-Briord;1;439;319;3379;2081;9;;
1404;Serrières-sur-Ain;1;379;325;3845;2240;9;;
1405;Servas;1;497;323;4078;2319;9;;
